;Nome;localizacao;quartos;facilidades;cafe_da_manha;comida;Academia;Acesso direto à praia;Animais permitidos;Bar na beira da Piscina;Bar no hotel;Cabeleireiro;Centro financeiro;Check-in / out Expresso;Cofre na recepção;Concierge;Elevador;Estacionamento;Guarda-sol;Lavanderia;Loja de conveniência;PC com Internet;Piscina exterior;Piscina interna;Quarto para não-fumantes;Recepção 24 horas;Restaurante;Sala de conferências;Serviço de portaria;Serviço de quarto;Serviço de quarto 24 horas;Spa;Terraço;Transfer de/ para aeroporto;Wi-Fi grátis no lobby;Acesso Wi-Fi nos quartos;Ar condicionado;Banheiro com banheira;Banheiro com ducha;Canais de TV via satélite;Cofre no quarto;Cozinha quitinete;Espelho de aumento;Ferro e tábua de passar;Mesa de trabalho;Secador;Telefone;TV LCD
62;Hotel Pousada da Praça;88.00;78.00;76.75;74.83;77.05;0;1;1;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;1;0;0;0;0
63;Palanca Negra;74.00;75.52;86.00;74.83;77.05;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
64;Betel Beach Flat;84.00;75.52;80.00;74.83;77.05;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;1;0;0
65;Park Way Home Service;84.00;75.52;77.00;74.83;77.05;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;1;1;0
66;Pousada Recife Inn;73.00;74.00;71.00;74.83;77.05;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;1;1;0;0;1
67;Pousada Vitoria;86.00;78.00;80.00;74.83;77.05;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;1;0;1;1;0;0;1;0;1;1;0;1
68;Boa Viagem Apartment;87.00;75.52;83.00;74.83;77.05;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0
69;Flat Navegantes;88.00;75.52;80.00;74.83;77.05;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;1;1;0;0;1
70;Coqueiral;90.00;77.00;77.00;74.83;77.05;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;1;0
71;Estação do Mangue;82.00;80.00;77.00;74.83;77.05;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;1;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1
72;Apart Boa Viagem Seaview;87.00;75.52;82.00;74.83;77.05;1;0;1;0;1;0;0;0;1;0;1;1;1;1;0;1;1;0;1;0;1;0;0;1;0;0;1;0;1;0;1;0;1;1;1;1;0;0;1;0;1;1
73;Sobrado;85.00;74.00;74.00;74.83;77.05;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0
75;Albergue Cultural São Salomão;83.00;75.52;78.00;74.83;77.05;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;1;1;0;1;1;1;0;0;1;0;1;1;1;0;1;1;1;0;0;0;1;0;1;1
77;Motel Devaneios;82.00;79.00;76.00;74.83;77.05;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0
